variable,label,source,notes
condom_first,Use of condum during the first sexual intercourse with most recent partner,Table 105a. Percentage distribution of persons aged 15-49 years who ever had sexual intercourse by sexual partner and condom use,
condom_last,Used condum last time sexual intercourse with most recent partner,Table 105a. Percentage distribution of persons aged 15-49 years who ever had sexual intercourse by sexual partner and condom use,
condom_always,Use of condum always in sexual intercourse during the last 12 months with most recent sexual partner,Table 105a. Percentage distribution of persons aged 15-49 years who ever had sexual intercourse by sexual partner and condom use,
condom_total,Total persons aged 15 to 49 years,Table 105a. Percentage distribution of persons aged 15-49 years who ever had sexual intercourse by sexual partner and condom use,
prevent_condom,Use condoms,Table 126a: Percentage distribution of population 10-64 years ever heard of the virus HIV or an illness called AIDS by identification of ways of preventing HIV infection,
prevention_partners,Have fewer partners,Table 126a: Percentage distribution of population 10-64 years ever heard of the virus HIV or an illness called AIDS by identification of ways of preventing HIV infection,
prevention_monog,Both have no other partners,Table 126a: Percentage distribution of population 10-64 years ever heard of the virus HIV or an illness called AIDS by identification of ways of preventing HIV infection,
prevention_casual,No casual sex,Table 126a: Percentage distribution of population 10-64 years ever heard of the virus HIV or an illness called AIDS by identification of ways of preventing HIV infection,
prevention_nosex,No sex at all,Table 126a: Percentage distribution of population 10-64 years ever heard of the virus HIV or an illness called AIDS by identification of ways of preventing HIV infection,
prevention_nocommercialsex,No commercial sex,Table 126a: Percentage distribution of population 10-64 years ever heard of the virus HIV or an illness called AIDS by identification of ways of preventing HIV infection,
prevention_needles,Avoid injections with contaminated needles,Table 126a: Percentage distribution of population 10-64 years ever heard of the virus HIV or an illness called AIDS by identification of ways of preventing HIV infection,
prevention_notransfusions,Avoid blood transfusions,Table 126a: Percentage distribution of population 10-64 years ever heard of the virus HIV or an illness called AIDS by identification of ways of preventing HIV infection,
prevention_dontknow,Don't know any,Table 126a: Percentage distribution of population 10-64 years ever heard of the virus HIV or an illness called AIDS by identification of ways of preventing HIV infection,
prevention_other,Other ways,Table 126a: Percentage distribution of population 10-64 years ever heard of the virus HIV or an illness called AIDS by identification of ways of preventing HIV infection,
total_prevention,Total ever heard of the virsus HIV or an illness called AIDS,Table 126a: Percentage distribution of population 10-64 years ever heard of the virus HIV or an illness called AIDS by identification of ways of preventing HIV infection,
attitude_meal,Have shared a meal with PLWHA,Table 145a: Distribution of persons aged 10-64 years who ever heard of the virus HIV or an illness called AIDS by attitude toward people living with HIV and AIDS,
attitude_care,Willing to care for family sick with HIV/AIDS,Table 145a: Distribution of persons aged 10-64 years who ever heard of the virus HIV or an illness called AIDS by attitude toward people living with HIV and AIDS,
attitude_teach,Allow a teacher with HIV/AIDS to teach,Table 145a: Distribution of persons aged 10-64 years who ever heard of the virus HIV or an illness called AIDS by attitude toward people living with HIV and AIDS,
attitude_buy,Buy vegetable from shopkeeper or food seller with HIV/AIDS,Table 145a: Distribution of persons aged 10-64 years who ever heard of the virus HIV or an illness called AIDS by attitude toward people living with HIV and AIDS,
attitude_secret,A family member with HIV/AIDS reamin a secret - No,Table 145a: Distribution of persons aged 10-64 years who ever heard of the virus HIV or an illness called AIDS by attitude toward people living with HIV and AIDS,
tested_pct,All who ever tested for HIV as a percent of total population aged 10-64 years,Table 152a: Percentage distribution of population aged 10-64 years ever tested for HIV by various testing services/conditions,
access_home,"Home based care, percent of population (ages 10-64) who have access to social and medical sercives",Table 162a: Percentage distribution of persons aged 10-64 years by access to social and medical services,
access_orphan,"Orphan care, percent of population (ages 10-64) who have access to social and medical sercives",Table 162a: Percentage distribution of persons aged 10-64 years by access to social and medical services,
access_support,"PLWHA support, percent of population (ages 10-64) who have access to social and medical sercives",Table 162a: Percentage distribution of persons aged 10-64 years by access to social and medical services,
access_destitute,"Destitute programs, percent of population (ages 10-64) who have access to social and medical sercives",Table 162a: Percentage distribution of persons aged 10-64 years by access to social and medical services,
access_arv,"ARV program, percent of population (ages 10-64) who have access to social and medical sercives",Table 162a: Percentage distribution of persons aged 10-64 years by access to social and medical services,
access_pmtct,"PMTCT program, percent of population (ages 10-64) who have access to social and medical sercives",Table 162a: Percentage distribution of persons aged 10-64 years by access to social and medical services,
access_ipt,"IPT program, percent of population (ages 10-64) who have access to social and medical sercives",Table 162a: Percentage distribution of persons aged 10-64 years by access to social and medical services,
access_vct,"VCT/RHT, percent of population (ages 10-64) who have access to social and medical sercives",Table 162a: Percentage distribution of persons aged 10-64 years by access to social and medical services,
access_other,"Other services, percent of population (ages 10-64) who have access to social and medical sercives",Table 162a: Percentage distribution of persons aged 10-64 years by access to social and medical services,
